#F spectrum.dat

#S 1 Wiggler spectrum
#N 3
#L PhotonEnergy[eV]  Flux[phot/s/0.1%bw]  PowerDensity[W/eV]
 2.001338677355e+04   2.180701612254e+14   3.493869140094e-02  
 2.001342685371e+04   2.180696206480e+14   3.493860479089e-02  
 2.001346693387e+04   2.180690800718e+14   3.493851818103e-02  
 2.001350701403e+04   2.180685394968e+14   3.493843157137e-02  
 2.001354709419e+04   2.180679989230e+14   3.493834496190e-02  
 2.001358717435e+04   2.180674583504e+14   3.493825835263e-02  
 2.001362725451e+04   2.180669177790e+14   3.493817174355e-02  
 2.001366733467e+04   2.180663772088e+14   3.493808513465e-02  
 2.001370741483e+04   2.180658366399e+14   3.493799852596e-02  
 2.001374749499e+04   2.180652960721e+14   3.493791191745e-02  
 2.001378757515e+04   2.180647555055e+14   3.493782530914e-02  
 2.001382765531e+04   2.180642149401e+14   3.493773870102e-02  
 2.001386773547e+04   2.180636743760e+14   3.493765209309e-02  
 2.001390781563e+04   2.180631338130e+14   3.493756548536e-02  
 2.001394789579e+04   2.180625932512e+14   3.493747887781e-02  
 2.001398797595e+04   2.180620526907e+14   3.493739227046e-02  
 2.001402805611e+04   2.180615121313e+14   3.493730566330e-02  
 2.001406813627e+04   2.180609715731e+14   3.493721905634e-02  
 2.001410821643e+04   2.180604310162e+14   3.493713244957e-02  
 2.001414829659e+04   2.180598904604e+14   3.493704584298e-02  
 2.001418837675e+04   2.180593499058e+14   3.493695923660e-02  
 2.001422845691e+04   2.180588093525e+14   3.493687263040e-02  
 2.001426853707e+04   2.180582688003e+14   3.493678602440e-02  
 2.001430861723e+04   2.180577282494e+14   3.493669941859e-02  
 2.001434869739e+04   2.180571876996e+14   3.493661281297e-02  
 2.001438877756e+04   2.180566471510e+14   3.493652620754e-02  
 2.001442885772e+04   2.180561066037e+14   3.493643960231e-02  
 2.001446893788e+04   2.180555660575e+14   3.493635299727e-02  
 2.001450901804e+04   2.180550255126e+14   3.493626639242e-02  
 2.001454909820e+04   2.180544849689e+14   3.493617978777e-02  
 2.001458917836e+04   2.180539444263e+14   3.493609318330e-02  
 2.001462925852e+04   2.180534038849e+14   3.493600657903e-02  
 2.001466933868e+04   2.180528633448e+14   3.493591997496e-02  
 2.001470941884e+04   2.180523228059e+14   3.493583337107e-02  
 2.001474949900e+04   2.180517822681e+14   3.493574676738e-02  
 2.001478957916e+04   2.180512417316e+14   3.493566016387e-02  
 2.001482965932e+04   2.180507011962e+14   3.493557356057e-02  
 2.001486973948e+04   2.180501606621e+14   3.493548695745e-02  
 2.001490981964e+04   2.180496201292e+14   3.493540035453e-02  
 2.001494989980e+04   2.180490795974e+14   3.493531375179e-02  
 2.001498997996e+04   2.180485390669e+14   3.493522714926e-02  
 2.001503006012e+04   2.180479985376e+14   3.493514054691e-02  
 2.001507014028e+04   2.180474580094e+14   3.493505394476e-02  
 2.001511022044e+04   2.180469174825e+14   3.493496734279e-02  
 2.001515030060e+04   2.180463769568e+14   3.493488074103e-02  
 2.001519038076e+04   2.180458364322e+14   3.493479413945e-02  
 2.001523046092e+04   2.180452959089e+14   3.493470753807e-02  
 2.001527054108e+04   2.180447553868e+14   3.493462093688e-02  
 2.001531062124e+04   2.180442148659e+14   3.493453433588e-02  
 2.001535070140e+04   2.180436743462e+14   3.493444773508e-02  
 2.001539078156e+04   2.180431338276e+14   3.493436113446e-02  
